episode_id,goal_id,route_id,collector_policy,return_code,recording_integrity,failure_stage,runtime_degradation_event,rerecorded_from,timeout_flag,partial_recording_flag,split,expected_difficulty,n_frames,path_length_m,final_d2g_m,min_d2g_m,contacts,stop_reason,estop,trajectory_quality,training_eligible,imitation_eligible,evaluation_eligible,domain_shift_evidence,checkpoint,telemetry_note
h2_td_I_r,h2_corridor_I,occluded_corridor,topdown_incumbent_diagnostic,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,train,occluded_corridor,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_J,h2_weave_J,weave_near_obstacle,topdown_incumbent_diagnostic,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,train,weave_near_obstacle,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_K,h2_near_desk_K,near_desk_turn,topdown_incumbent_diagnostic,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,train,near_desk_turn,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_ft_L,h2_test_long_L,test_long,hospital_front_rgb_finetune,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,test,test_long,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_ft_M,h2_test_occluded_M,test_occluded,hospital_front_rgb_finetune,137,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,False,True,test,test_occluded,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_L,h2_test_long_L,test_long,topdown_incumbent_diagnostic,0,clean,,,,False,False,test,test_long,167,8.5895,1.0481,,314,step_budget_complete,False,collision+imperfect,False,False,True,True,checkpoints/scene_holdout_mnv2_baseline/best.pt,latency/camera-age: not logged per-step in this collection - explicitly unavailable
h2_td_M,h2_test_occluded_M,test_occluded,topdown_incumbent_diagnostic,0,excluded_partial_recording,bag_not_finalized_orphaned_recorder,orphaned_bag_recorder_dds_pollution,,False,True,test,test_occluded,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_H_r2,h2_long_turn_H,long_multi_turn,topdown_incumbent_diagnostic,0,rerecorded_clean,spawn_defect,route_design_defect_hand_placed_spawn,h2_td_H,False,False,train,long_multi_turn,107,2.128,7.4465,,3600,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/scene_holdout_mnv2_baseline/best.pt,
h2_td_I_r2,h2_corridor_I,occluded_corridor,topdown_incumbent_diagnostic,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,train,occluded_corridor,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_K_r2,h2_near_desk_K,near_desk_turn,topdown_incumbent_diagnostic,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,train,near_desk_turn,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_ft_L_r2,h2_test_long_L,test_long,hospital_front_rgb_finetune,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,test,test_long,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_ft_M_r2,h2_test_occluded_M,test_occluded,hospital_front_rgb_finetune,124,excluded_partial_recording,control_loop_start_wedge,orphaned_bag_recorder_dds_pollution,,True,True,test,test_occluded,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_L_dup,h2_test_long_L,test_long,topdown_incumbent_diagnostic,,excluded_partial_recording,chain_killed_for_recovery,orphaned_bag_recorder_dds_pollution,,False,True,test,test_long,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_M_dup,h2_test_occluded_M,test_occluded,topdown_incumbent_diagnostic,,excluded_partial_recording,chain_killed_for_recovery,orphaned_bag_recorder_dds_pollution,,False,True,test,test_occluded,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_td_J_r2,h2_weave_J,weave_near_obstacle,topdown_incumbent_diagnostic,0,rerecorded_clean,,,h2_td_J,False,False,train,weave_near_obstacle,140,6.9771,1.0424,,0,step_budget_complete,False,imperfect,False,False,False,True,checkpoints/scene_holdout_mnv2_baseline/best.pt,latency/camera-age: not logged per-step in this collection - explicitly unavailable
h2_td_I_solo,h2_corridor_I,occluded_corridor,topdown_incumbent_diagnostic,0,rerecorded_clean,spawn_defect,route_design_defect_hand_placed_spawn,h2_td_I_r2,False,False,train,occluded_corridor,60,0.0578,6.2291,,3598,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/scene_holdout_mnv2_baseline/best.pt,
h2_td_K_solo,h2_near_desk_K,near_desk_turn,topdown_incumbent_diagnostic,0,rerecorded_clean,route_design_defect,route_design_defect_hand_placed_spawn,h2_td_K_r2,False,False,train,near_desk_turn,12,0.2697,5.7978,,0,action_gross_bounds,True,route_design_defect,False,False,False,False,checkpoints/scene_holdout_mnv2_baseline/best.pt,
h2_ft_L_solo,h2_test_long_L,test_long,hospital_front_rgb_finetune,124,excluded_partial_recording,scene_load_before_control_loop,transient_asset_or_setup_stall,,True,True,test,test_long,,,,,,n/a_partial,,n/a_excluded,False,False,False,False,,
h2_ft_M_solo,h2_test_occluded_M,test_occluded,hospital_front_rgb_finetune,0,rerecorded_clean,spawn_defect,route_design_defect_hand_placed_spawn,h2_ft_M_r2,False,False,test,test_occluded,69,0.2096,6.9595,,4198,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h2_ft_L_solo2,h2_test_long_L,test_long,hospital_front_rgb_finetune,0,rerecorded_clean,,,h2_ft_L_solo,False,False,test,test_long,85,8.4608,1.133,,385,step_budget_complete,False,collision+imperfect,False,False,True,False,checkpoints/hospital_front_rgb_finetune/best.pt,latency/camera-age: not logged per-step in this collection - explicitly unavailable
h2_td_M_solo,h2_test_occluded_M,test_occluded,topdown_incumbent_diagnostic,0,rerecorded_clean,spawn_defect,route_design_defect_hand_placed_spawn,h2_td_M,False,False,test,test_occluded,70,0.1978,6.9665,,4198,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/scene_holdout_mnv2_baseline/best.pt,
h21_ft_H_a,h2_long_turn_H,long_multi_turn,hospital_front_rgb_finetune,0,rerecorded_clean,route_valid_but_navigation_failed,route_design_defect_hand_placed_spawn,h2_ft_H_a,False,False,train,long_multi_turn,85,8.935,6.3497,,0,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h21_ft_H_b,h2_long_turn_H,long_multi_turn,hospital_front_rgb_finetune,0,rerecorded_clean,route_valid_but_navigation_failed,route_design_defect_hand_placed_spawn,h2_ft_H_b,False,False,train,long_multi_turn,85,8.9397,6.0579,,0,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h21_ft_I_a,h2_corridor_I,occluded_corridor,hospital_front_rgb_finetune,0,rerecorded_clean,collision_tainted,route_design_defect_hand_placed_spawn,h2_ft_I_a,False,False,train,occluded_corridor,77,6.8282,1.9573,,688,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h21_ft_I_b,h2_corridor_I,occluded_corridor,hospital_front_rgb_finetune,0,rerecorded_clean,collision_tainted,route_design_defect_hand_placed_spawn,h2_ft_I_b,False,False,train,occluded_corridor,77,6.83,1.6472,,688,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h21_ft_K_a,h2_near_desk_K,near_desk_turn,hospital_front_rgb_finetune,0,rerecorded_clean,mid_route_geometry_defect,route_design_defect_hand_placed_spawn,h2_ft_K_a,False,False,train,near_desk_turn,60,2.1724,4.1592,,2294,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h21_ft_K_b,h2_near_desk_K,near_desk_turn,hospital_front_rgb_finetune,0,rerecorded_clean,mid_route_geometry_defect,route_design_defect_hand_placed_spawn,h2_ft_K_b,False,False,train,near_desk_turn,60,1.8613,4.0595,,2546,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h21_ft_M,h2_test_occluded_M,test_occluded,hospital_front_rgb_finetune,0,rerecorded_clean,mid_route_geometry_defect,route_design_defect_hand_placed_spawn,h2_ft_M_solo,False,False,test,test_occluded,76,4.4593,2.3667,,2218,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/hospital_front_rgb_finetune/best.pt,
h21_td_M,h2_test_occluded_M,test_occluded,topdown_incumbent_diagnostic,0,rerecorded_clean,mid_route_geometry_defect,route_design_defect_hand_placed_spawn,h2_td_M_solo,False,False,test,test_occluded,77,4.4609,2.3656,,2218,step_budget_complete,False,route_design_defect,False,False,False,False,checkpoints/scene_holdout_mnv2_baseline/best.pt,
