episode,scene,seed,n_frames,path_m,clear_min_m,goal_std,goal_ok
gen_kujiale_0118_1222,kujiale_0118,12,33,3.36,0.5,51.2,True
gen_kujiale_0118_1223,kujiale_0118,12,53,5.31,0.25,38.8,True
gen_kujiale_0118_1224,kujiale_0118,12,31,3.13,0.25,18.4,True
gen_kujiale_0118_1225,kujiale_0118,12,62,6.29,0.3,38.1,True
gen_kujiale_0118_1226,kujiale_0118,12,31,3.12,0.25,48.2,True
gen_kujiale_0118_1227,kujiale_0118,12,20,2.08,0.27,55.5,True
gen_kujiale_0118_1228,kujiale_0118,12,43,4.36,0.25,48.9,True
gen_kujiale_0118_1229,kujiale_0118,12,43,4.33,0.25,46.7,True
gen_kujiale_0118_1230,kujiale_0118,12,56,5.64,0.65,47.4,True
gen_kujiale_0118_1231,kujiale_0118,12,35,3.52,0.5,51.5,True
gen_kujiale_0118_1232,kujiale_0118,12,25,2.57,0.4,46.7,True
gen_kujiale_0118_1233,kujiale_0118,12,24,2.45,0.25,43.5,True
gen_kujiale_0118_1234,kujiale_0118,12,24,2.42,0.25,40.0,True
gen_kujiale_0118_1235,kujiale_0118,12,25,2.52,0.25,31.1,True
gen_kujiale_0118_1236,kujiale_0118,12,30,3.02,0.71,53.0,True
gen_kujiale_0203_0700,kujiale_0203,7,26,2.63,0.49,37.8,True
gen_kujiale_0203_0701,kujiale_0203,7,61,6.16,0.5,43.8,True
gen_kujiale_0203_0702,kujiale_0203,7,28,2.83,0.25,43.7,True
gen_kujiale_0203_0703,kujiale_0203,7,38,3.87,0.25,37.1,True
gen_kujiale_0203_0704,kujiale_0203,7,49,4.99,0.4,37.1,True
gen_kujiale_0203_0705,kujiale_0203,7,27,2.75,0.55,44.4,True
gen_kujiale_0203_0706,kujiale_0203,7,35,3.57,0.28,46.5,True
gen_kujiale_0203_0707,kujiale_0203,7,25,2.55,0.25,41.3,True
gen_kujiale_0203_0708,kujiale_0203,7,59,5.97,0.25,40.5,True
gen_kujiale_0203_0709,kujiale_0203,7,32,3.27,0.3,37.2,True
gen_kujiale_0203_1300,kujiale_0203,13,30,3.08,0.25,51.0,True
gen_kujiale_0203_1301,kujiale_0203,13,21,2.12,0.6,36.7,True
gen_kujiale_0203_1302,kujiale_0203,13,46,4.67,0.45,38.2,True
gen_kujiale_0203_1303,kujiale_0203,13,27,2.8,0.25,45.7,True
gen_kujiale_0203_1304,kujiale_0203,13,33,3.35,0.3,40.5,True
gen_kujiale_0203_1305,kujiale_0203,13,54,5.46,0.25,47.9,True
gen_kujiale_0203_1306,kujiale_0203,13,42,4.29,0.46,38.7,True
gen_kujiale_0203_1307,kujiale_0203,13,30,3.09,0.55,52.9,True
gen_kujiale_0203_1308,kujiale_0203,13,40,4.04,0.32,46.2,True
gen_kujiale_0203_1309,kujiale_0203,13,46,4.66,0.32,44.9,True
gen_kujiale_0203_1310,kujiale_0203,13,23,2.38,0.25,37.2,True
gen_kujiale_0203_1311,kujiale_0203,13,24,2.47,0.3,43.8,True
gen_kujiale_0203_1312,kujiale_0203,13,23,2.38,0.28,36.9,True
gen_kujiale_0203_1313,kujiale_0203,13,20,2.04,0.3,46.3,True
gen_kujiale_0203_1314,kujiale_0203,13,58,5.83,0.4,48.5,True
gen_kujiale_0203_1315,kujiale_0203,13,26,2.62,0.25,42.5,True
gen_kujiale_0203_1316,kujiale_0203,13,38,3.88,0.25,46.8,True
gen_kujiale_0203_1317,kujiale_0203,13,39,3.95,0.35,39.4,True
gen_kujiale_0203_1318,kujiale_0203,13,23,2.38,0.45,57.5,True
gen_kujiale_0203_1319,kujiale_0203,13,23,2.35,0.5,39.9,True
gen_kujiale_0203_1320,kujiale_0203,13,20,2.02,0.3,38.3,True
gen_kujiale_0203_1321,kujiale_0203,13,26,2.67,0.25,41.3,True
gen_kujiale_0203_1322,kujiale_0203,13,37,3.71,0.4,36.8,True
gen_kujiale_0203_1323,kujiale_0203,13,27,2.78,0.6,46.4,True
gen_kujiale_0203_1324,kujiale_0203,13,60,6.05,0.3,48.7,True
gen_kujiale_0203_1325,kujiale_0203,13,36,3.61,0.4,43.7,True
gen_kujiale_0203_1326,kujiale_0203,13,61,6.12,0.45,44.5,True
gen_kujiale_0203_1327,kujiale_0203,13,33,3.36,0.25,48.9,True
gen_kujiale_0203_1328,kujiale_0203,13,36,3.63,0.45,53.2,True
gen_kujiale_0203_1329,kujiale_0203,13,31,3.15,0.3,44.7,True
gen_kujiale_0203_1330,kujiale_0203,13,26,2.67,0.3,45.3,True
gen_kujiale_0203_1331,kujiale_0203,13,32,3.21,0.25,34.6,True
gen_kujiale_0203_1332,kujiale_0203,13,23,2.31,0.45,35.9,True
